protein,pvalue,log2FC,adj_pvalue
SBDS,0.007682530084782046,0.34758543739354764,0.03087289074094163
RBM26,0.9081827702835072,-0.014639305108548939,0.9387859865578921
SLC4A1AP,0.06735362035721071,-0.5323858610154382,0.14908148896138712
PBX1,0.3634174781255214,0.3920078567046019,0.4943930464443383
NOMO2;NOMO1;NOMO3,0.1393106450593792,0.6584411798967444,0.24768864076679828
SEPT8,0.12350927984233595,-0.740467837840793,0.22861293952486636
STAU1,0.10366454466261493,-0.07228810393536023,0.2015905163171208
TMSB15A;TMSB15B,0.0785564484918662,-1.7514525202368212,0.1650614511429669
LYPLA1,0.13230186503928476,-1.035069925223148,0.23913150378054954
PSME2,0.000227253050963581,0.45220146919487547,0.002538241769223997
MRPL45,0.8425113491112567,0.17043256661471062,0.8925047268308935
SPAG9,0.7615063781935957,-0.08688687093927427,0.8288660128464025
PSMC6,0.012441716791088681,0.15428065857752316,0.04391905862397268
RNF114,0.5343318662809368,-0.24872280391810264,0.6530722810100338
AAK1,0.911153357163424,0.03890106475564892,0.9409634954489984
C21orf33,0.05081286853023205,0.19750007988532303,0.12127209050087752
RER1,0.012855145924371146,0.48988440737379335,0.04486940356294929
MYEF2,0.3249958352981061,-0.4318392714364876,0.4593386951844744
APP,0.0010211370515486149,1.3727406364624386,0.007151242759719881
SNX6,0.904867362422463,0.012351111939942427,0.9371379530937348
PCMT1,0.6912114062171156,0.04515907116699225,0.7811514527697125
ABLIM1,0.0059593878243760015,-0.413138674342882,0.025600683789922942
MYO6,0.005306543837471985,1.0733656042883268,0.023491163573199154
NOLC1,0.2016977780273209,-0.8356294821115355,0.3211754930987956
SNRPC,0.07686732676555623,-0.15592355001455616,0.16285704055970962
NOL6,0.8568749899651131,0.021305518512566124,0.9024534468781511
SFXN3,0.3336583222409958,-0.5190106658872082,0.4676369535655655
GSN,0.18383917437954841,0.2528618653717274,0.30110219853913883
EXOC7,0.7258063784631763,0.08983485759219789,0.8057116678352692
FHL2,0.0005407019033346461,1.6074459579799836,0.004587937122074164
ATP1A3,0.9522950422275568,0.033350535157602224,0.9669457351849038
WDR36,0.07836066070413779,-0.3227816287537877,0.16489808600348996
ILK,0.8442119308528281,0.09308309362437228,0.8936172271110885
TTN,0.8348291554492074,-0.2530367354739127,0.8862972558865989
TMED7;TMED7-TICAM2,0.04759460770257642,0.27908770904711133,0.11621194571324152
CORO7-PAM16;CORO7,0.15520026263421294,0.6022436730600056,0.2676375075354836
