protein,pvalue,log2FC,adj_pvalue
PLAUR,9.206020922455936e-05,2.1963309803593525,0.0013105041548437273
WDR18,9.785766887200598e-05,-1.513458845664033,0.0013662436077130065
ICAM1,0.0001035832398350645,2.9427337463713528,0.0014100268522548155
PRPS1,0.00011455158154430981,-1.0100989239945264,0.0015231045914475799
FHL1,0.0001160960280542901,-1.0739852998279389,0.0015324675703166292
NAMPT,0.0001541383012736772,1.2737722731111951,0.0018966848597405026
GNG2,0.000161239296919462,1.2497237315302598,0.001972916790396563
ASPH,0.00016284372552624653,1.4061217304135347,0.001972984928857006
TAGLN,0.0002337821359791563,-2.0210634637776117,0.0025586808651387057
AKAP12,0.0002611289158384262,3.520523339721926,0.0027743355058345966
PBXIP1,0.0002714326339934038,1.5448128736715496,0.002808149723339084
S100A11,0.00027283152447558033,1.9755339735017934,0.002808149723339084
RBP1,0.000287517399074506,1.1318711935201584,0.002926228482169505
PXN,0.0003270126862132854,2.07133334195278,0.003208259597173584
SQSTM1,0.00033678210164331084,2.8229468061387415,0.003274604541871121
TAGLN3,0.00034697531519885727,2.225982081391134,0.003343859453553589
ACSL3,0.0003506799931649809,1.0860439913483582,0.0033499167768128433
LMCD1,0.00037639335573653044,-1.3806189543302523,0.0035183893939663663
SDF2L1,0.0004161433870676717,2.16709627466539,0.0038405097331923265
COTL1,0.00045739389615350704,1.2380334104224033,0.0040996045507092115
EPHA2,0.0004894339972583224,1.1058981318242793,0.004298335669470267
TMX3,0.0005329300736664877,1.1905500839131946,0.004551849805669059
FHL2,0.0005407019033346461,1.6074459579799836,0.004587937122074164
PRSS12,0.0005413681544412581,1.2415813369106274,0.004587937122074164
PDLIM4,0.000554151638216682,3.3973036262807064,0.004660008756895496
MSH2,0.0005587586278478047,-1.0214089767993286,0.0046806780440481486
MTA1,0.0006723013899703566,-1.650495224455561,0.005423231212427543
ECI2,0.0007218064355339223,1.5872319482085437,0.0056754311068335115
DCLK1,0.0007201898515124766,2.0365168833480602,0.0056754311068335115
TYMS,0.0007770555082746459,-1.016070687769382,0.005959249637402038
NCAPG,0.0008381498542302335,-1.0397132243802574,0.006316575718039614
PXDN,0.0008588939343927185,1.198647750851027,0.006428422642980553
SMC4,0.0008898394813496895,-1.161560357151771,0.0065254895298977236
DCX,0.000933861641754919,-2.6008635429770486,0.006757311148645227
SERPINE1,0.000950403383251235,1.3670454357109811,0.006786814979413736
TOP2A,0.0009489405401118421,-1.1026751845237648,0.006786814979413736
APP,0.0010211370515486149,1.3727406364624386,0.007151242759719881
SERPINB1,0.0010483225441014986,1.5687905725656641,0.0072484015906446484
S100A6,0.0010715194486331312,1.7342074887612924,0.007385346073173923
SYNPO2,0.0011163490041635712,-1.1150631851336783,0.0076219690629099
NFKB2,0.0012269175166832946,1.3947129764739898,0.00812226854509488
DDC,0.0012895826513546274,-1.3029796398889353,0.00830174357373706
ANXA2;ANXA2P2,0.0013438275392542672,1.228205700873211,0.008485158242953601
HSPA2,0.0013754712657503632,-1.6246268182803156,0.008633361431712654
NRCAM,0.0014426880327222545,-1.419785153724284,0.00890134429254694
GBE1,0.0015863982006617137,1.2637919257204722,0.009596449443593245
BLVRB,0.0016419839515587932,1.8053675223860743,0.009744526012248097
CBS,0.0017322182973392125,-1.8016917151337495,0.01014185874087313
UBE2T,0.0021925772610677375,-1.4906721404184289,0.01219469994386454
VGF,0.0022390741160189112,1.0366149826060322,0.01237741985961723
IMPDH1,0.002385552760910958,-1.0093895116948772,0.0130017164159892
FDXR,0.002493541241481932,2.582277340112743,0.01337982735068558
MBOAT7,0.0027520314099984135,2.0870977785771245,0.01461932783165011
MSI2,0.002978444305668697,-2.231736946298181,0.015335819616421803
DCTD,0.002996296121321478,1.5661166208526431,0.015391351302448536
PITRM1,0.0032198267806876086,1.3202425065491532,0.0161958030677543
DHFR,0.0033044388504743743,-1.9237474556088756,0.016469262737604545
SGPL1,0.003474236419729297,1.0983515447457037,0.017107074936638066
LAMC1,0.0037622050592785073,1.3599662134606127,0.018331281027088565
SUMF2,0.0037751701462103516,1.9722728387929216,0.01835339414831729
FBLIM1,0.0038345667842676597,1.5663241821092697,0.018559303235855473
LPP,0.004202223709804819,1.0028827618649991,0.01955650264947627
PBRM1,0.004185398954156659,-1.8068472883226647,0.01955650264947627
RRM1,0.0043155155043274615,-1.4277548807568756,0.019998282486011088
FLNC,0.004712563332781548,1.480261653856747,0.02139639898657714
TUBB6,0.004963611331202592,1.1466559915439696,0.022290196864658236
KCTD12,0.0051626015414155514,-1.0734578175106684,0.022994163920660678
MYO6,0.005306543837471985,1.0733656042883268,0.023491163573199154
NQO1,0.005570208941547038,2.596377007507673,0.02440127131689914
CPSF3,0.0056050067719553365,-1.2770782908224554,0.02446433817498742
BRD3,0.0061643677037578415,-1.3727741294153475,0.026377196186217245
PYGL,0.006243305282690858,1.0747908701169386,0.026610408817418177
GNS,0.006634704328336925,1.335857770249735,0.02789649812184908
SOD2,0.00740549735148361,2.3481417493839167,0.03026111300474916
NUCB2;Nucb2,0.007645013217814794,1.196786795325977,0.03087289074094163
