"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"ILF3__1417",-0.0367662753517166,27.7967270840275,-0.293714300332895,0.77261118542362,0.872341711691366,-7.06400313982676
"NDUFAF2__1687",-0.0912406436786064,23.6406897304895,-0.29241097198766,0.773590104173226,0.872912756059199,-7.06440333747443
"RPS2__813",-0.0235844137805046,28.5852549268479,-0.291393086043636,0.774354903375617,0.872912756059199,-7.06471466264471
"KPNA6__534",0.0246213536469391,24.6952293576001,0.290861748147267,0.774754224745492,0.872912756059199,-7.06487674797932
"TMEM43__1887",0.0469053811398084,25.3217448491742,0.290450828333456,0.775063091826896,0.872912756059199,-7.0650018988282
"CALD1__274",0.0703059176459924,27.9348512016009,0.290373956046427,0.775120877051649,0.872912756059199,-7.06502529181353
"DHX16__523",0.125686785227728,23.2786193970706,0.288852814766911,0.776264604829067,0.873600751567486,-7.06548692922178
"TATDN1__247",0.116645966057394,23.5961991527272,0.288494623964579,0.776534001393321,0.873600751567486,-7.0655952841628
"POLR2A__902",-0.104383439198305,23.8172323758651,-0.287765572152948,0.777082414511646,0.873766390710565,-7.06581541569884
"HAGH__359",0.12848682832843,23.430749818315,0.286143822663894,0.778302774654866,0.874373146122127,-7.06630311263085
"RPS21__1312",-0.0258494783800849,28.348691369416,-0.28598151291151,0.778424945055466,0.874373146122127,-7.066351772631
"AP1M1__256",-0.120458166527783,24.4581443655317,-0.282710262734917,0.780888483220959,0.876688204358376,-7.06732665579657
"KLC2__1926",-0.131268366745825,23.976909000839,-0.281974422437684,0.781442967704816,0.876858724194276,-7.06754441735574
"DRAP1__224",0.0900379680794394,24.7662755721079,0.2795978345347,0.783234647552806,0.878095628950415,-7.06824389536751
"ALDH9A1__1093",0.0184079531357675,25.7505602213542,0.27944274656341,0.783351610216096,0.878095628950415,-7.06828933706936
"CLPP__415",0.134177357379215,23.6466132316572,0.277920879658796,0.784499639618123,0.878930151794379,-7.06873392807067
"FAU__295",0.0314025499193278,28.0840100285878,0.27453716571128,0.787053997286676,0.881338614956494,-7.06971381029611
"MRPS18B__2164",-0.118446083252188,23.8756972250291,-0.273523287679403,0.787819860534806,0.881344643415607,-7.07000510115163
"PBDC1__1895",0.0696362974149949,24.3677657347974,0.272178203961785,0.788836255829244,0.881344643415607,-7.0703899002166
"NDUFV2__260",-0.132617710151951,23.7531363639702,-0.271577141658097,0.789290567955777,0.881344643415607,-7.07056124325638
"BZW1__1647",-0.0211644237890738,26.3294522481912,-0.271568537712758,0.789297071804851,0.881344643415607,-7.07056369323191
"RPS4X;RPS4Y2__1278",-0.0163657149574981,28.6453692850572,-0.271561017039622,0.789302756805642,0.881344643415607,-7.07056583468241
"ARIH1__2150",-0.0805160594093088,23.2680209245034,-0.271316857734668,0.789487327504063,0.881344643415607,-7.07063532512863
"NOL7__2094",-0.0556610270446996,23.8183460821512,-0.268272643290714,0.791789662518441,0.883462031232154,-7.07149654025128
"HIST1H2AG;HIST1H2AJ;H2AFJ;HIST1H2AH;HIST1H2AD__745",-0.0644014144239833,33.1866737793338,-0.265329015879128,0.794017812216485,0.884409955472042,-7.07232013768959
"CBX8__1964",0.073749481822599,23.3188111064142,0.265298766701307,0.794040718605241,0.884409955472042,-7.0723285543404
"DSTN__1225",-0.0516228095342584,26.9892843383681,-0.264807643048977,0.79441265235827,0.884409955472042,-7.07246507339549
"ZC3H15__1726",0.0915646571594841,24.1978833416789,0.264494677467855,0.794649691542058,0.884409955472042,-7.0725519384949
"SUGT1__2128",0.0244616438739023,25.2554042286268,0.263934860038587,0.795073747222048,0.884409955472042,-7.07270706445681
"FLII__1424",0.0861268814643985,24.0103547336648,0.263932392456491,0.795075616535472,0.884409955472042,-7.07270774750479
"SCCPDH__1701",-0.0432453851558456,25.2511334150717,-0.25958922455179,0.798367759347965,0.887618672720709,-7.07390015830604
"SARNP__1336",-0.0303448258935575,26.4457659454688,-0.256742271632141,0.800527895257546,0.889411816814356,-7.07467113736872
"UBL4A__771",-0.0352887285835983,23.8822814425031,-0.256387331705353,0.800797324505487,0.889411816814356,-7.07476666681061
"RPL7__844",0.0268668346139691,28.5084238696601,0.255468756188183,0.801494720688298,0.889732671589762,-7.07501328584645
"DBN1__1568",0.0240899083233508,28.4466915344876,0.252048739733906,0.804092763155099,0.891136502408385,-7.07592376909215
