"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"PDIA6__1524",0.507059005329896,28.8157215693778,7.58256857711904,8.65491178517496e-07,2.51338638241481e-05,5.76152611291757
"PSAT1__2163",-1.33080011180044,24.9747696621569,-7.53601541364212,9.38062981011621e-07,2.68829101663594e-05,5.67919686538344
"ARPC1B__478",1.15731322227746,26.8742866513227,7.49561732427868,1.00618754668262e-06,2.84607334633084e-05,5.60751372991132
"PDIA4__794",0.658691585386464,28.3883647372706,7.3844720945428,1.2216104089209e-06,3.41111214183298e-05,5.40914642422616
"ERP44__1880",0.550334706338294,26.2443294160189,7.37036001538857,1.25222288387959e-06,3.45233093808829e-05,5.38383899464276
"RBBP4__1401",-0.57480277262686,27.5855186628735,-7.26458572621878,1.50874902020843e-06,4.10756920751745e-05,5.19328401555881
"STT3A__1076",0.533173536206807,25.3580652297145,7.25247842993741,1.54142632646674e-06,4.14472412227723e-05,5.17137462494736
"COTL1__1472",1.2380334104224,26.9257274187852,7.20227339902034,1.68500916776957e-06,4.4755487407343e-05,5.080308912132
"MDC1__1497",-1.84166037298459,23.3986757305264,-7.17985630768625,1.7535604775908e-06,4.60151171107561e-05,5.03953537710007
"CKAP4__1391",0.800059245755268,27.3858703682241,7.16556461175785,1.79877680187629e-06,4.66397127915067e-05,5.01350478261896
"CAPNS1__89",0.663524020227587,26.1723775700886,7.12143569300738,1.94622269092787e-06,4.9326945984705e-05,4.93295229861269
"SCG2__792",2.72316517866925,25.1298649197988,7.12100786973093,1.94771228406089e-06,4.9326945984705e-05,4.93217004535849
"ATL3__1620",0.668559977634327,24.6797113154322,7.0286720773502,2.29874069608886e-06,5.75477843227764e-05,4.76275043631323
"BLVRB__147",1.80536752238607,23.6257718371963,6.95592542569598,2.6214504861836e-06,6.4880899533044e-05,4.62844859224423
"CLIC1__432",0.783237705706814,27.5895572315116,6.93217952943261,2.73673083268124e-06,6.69730309390983e-05,4.58445258171055
"DCLK1__476",2.03651688334806,25.211357530388,6.9224339726316,2.78555972333825e-06,6.74105453047855e-05,4.56637376900196
"KDM1A__528",-0.902522956740359,24.152812374166,-6.90883036674228,2.85524087492147e-06,6.81993283591539e-05,4.54111615842775
"DDOST__91",0.481144355616451,27.4652117871895,6.90393089351669,2.88077971030402e-06,6.81993283591539e-05,4.53201315949683
"CDV3__2088",0.616354981224003,26.4270686109159,6.88130293103237,3.00185280138892e-06,7.03014559293019e-05,4.48992869858506
"RANBP1__1057",-0.525237752677086,28.123684072052,-6.86191105032359,3.10982452793479e-06,7.20552959770422e-05,4.4538069536216
"RBM28__2010",-0.857079503074154,24.0608886859642,-6.85232500711065,3.16468424360578e-06,7.25545503428778e-05,4.43593174233997
"SERPINB1__965",1.56879057256566,23.7046731580506,6.80420678687182,3.45568452324259e-06,7.84008426210663e-05,4.346014822686
"UCHL1__741",0.424868199141248,30.7322778677925,6.74764569050702,3.83368623341226e-06,8.55055502574952e-05,4.23991557635632
"MANF__177",0.833782644035875,27.3279165813994,6.74075178225762,3.88261550481255e-06,8.55055502574952e-05,4.22695382330741
