"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"CD44__815",1.28807016322427,25.5725545342069,4.28368578081258,0.000525950390787392,0.00558790220065824,-0.618643504970276
"MDC1__1497",-1.09548076884866,23.3986757305264,-4.27081704289503,0.000540557584462828,0.00568760588869585,-0.646046226601933
"ACOT9__2129",1.099330539608,23.5885601951886,4.22218215164528,0.000599578052107986,0.00615981602590186,-0.749652624944109
"PRSS12__1213",1.01117612865528,23.466893102174,4.1646210472376,0.00067793465944174,0.00680433957725396,-0.872348606080339
"NEFM__268",1.25118023919442,25.0234228378302,4.13716039168523,0.000718892157813709,0.00711703236235572,-0.93090528779156
"DCX__120",-1.81412152600695,24.2643562226812,-4.11235250439769,0.000758041927344331,0.00727924440557589,-0.983814648100009
"SGPL1__621",1.01140642443701,24.1290074102215,4.10786129317263,0.000765356735021524,0.00727924440557589,-0.993394138676054
"SUMF2__380",1.47260951324485,25.0812692075151,4.01381666665242,0.000936029602870588,0.00872344650135884,-1.19401757785924
"STMN2__250",-3.74306808602759,28.0059636805567,-4.01203666971112,0.000939606234225747,0.00872344650135884,-1.19781501777832
"PTK7__1439",-1.08917710733769,26.0980966575799,-3.93037731673322,0.00111939969642737,0.0099920186017164,-1.37200780411294
"AK3__2076",1.68413832927008,24.6263578736811,3.90426465172044,0.00118391573982657,0.0103556967122179,-1.42769529785126
"NCAPD2__1515",-1.1494055802715,23.8960802757617,-3.8881456413332,0.0012255951935585,0.0106773853262817,-1.46206478797269
"VASP__1131",1.46750299488975,24.7962791417051,3.88573204576537,0.00123196190747626,0.0106900917708498,-1.46721071446148
"KCTD12__1802",-2.06984126386904,25.1772586054936,-3.80307283888894,0.00147128436553786,0.0125070619659877,-1.64336069873286
"H2AFX;HIST1H2AA__816",-2.48057318073356,24.72739878068,-3.80042649109699,0.00147967359304836,0.0125070619659877,-1.64899695699973
"NSDHL__1553",1.24686778296063,23.8096519184758,3.7998357687486,0.00148155279486907,0.0125070619659877,-1.65025506088237
"ABCB1__714",1.775782915722,23.788364655005,3.75655336676298,0.00162596142620685,0.0134651862596141,-1.74240310566011
"NPTN;DKFZp566H1924__2060",1.63461362201897,23.6846868332555,3.69255156580979,0.00186575343789709,0.0148850219331131,-1.87852111519563
"RET__711",1.47787611825957,23.7960911019783,3.67123115317472,0.00195325092765327,0.0151935018586744,-1.92382105741769
"CD59__151",1.92352220637628,27.4718072395333,3.6505118186261,0.00204221121421116,0.0156098271688319,-1.96782020160274
"MSH2__1056",-1.17410372155842,24.8269362644332,-3.64699458861952,0.00205770986971064,0.0156702520847195,-1.97528688835306
"MYO1C__305",1.49409590720777,28.0119392616149,3.55897506338508,0.00248623115513228,0.0181928015157043,-2.16188622631587
"RSU1__1542",1.34582652332037,24.4876885663398,3.52402237579896,0.00268011949153238,0.0192650173351733,-2.23583194318586
"CBS__747",-1.10444363214873,25.0821172187766,-3.51661006740779,0.0027231333871993,0.0195098174911845,-2.25150092766146
"SMC2__615",-1.1461067720284,24.2811593430001,-3.48157100216726,0.00293594953955452,0.0205413001326472,-2.32550785861413
"PRPF38A__1698",-1.28986211537931,23.8419408663756,-3.42348841989422,0.00332573303150666,0.0224951755982034,-2.44794018175698
"ATP1B3__1187",1.47811848320562,24.7779537373325,3.39359614362397,0.00354593303852522,0.0235942206547057,-2.51082011089793
"MDK__290",1.6685634177633,23.8670448377039,3.39131415815604,0.00356332526568213,0.0235942206547057,-2.51561653024931
"TAGLN3__2072",1.39432082690342,25.3729195786248,3.3551021227364,0.00385090277949725,0.0246684301580736,-2.59165280599938
"RFC2__993",-1.20688220072089,23.8514232008168,-3.30169160506838,0.00431747037184217,0.0267904571791232,-2.70352373538726
"OGDH__98",1.2710309572236,24.6195430902055,3.2769612465315,0.00455201709425575,0.0276935565119805,-2.75520262144527
"VIP__651",2.51608154791116,24.5415178549208,3.27462162941127,0.00457484721143982,0.0277549226365346,-2.7600875864323
"VGF__483",1.62697890608499,27.9104728858213,3.21226627663309,0.00522671040861548,0.0307578284572001,-2.89000569123363
"DNMT1__915",-1.67584477412613,25.3797892267335,-3.19904564122024,0.00537625201258314,0.0310596203803875,-2.91747982459731
"SF3B6__2136",-1.41878798957289,24.682318817699,-3.12794958094261,0.00625551986126382,0.0343753011990129,-3.06476534927405
"NECAP2__2009",1.58343608482325,24.7923137270743,3.02681170856615,0.0077537986363283,0.0404982576257147,-3.2728189563613
"YY1__906",-1.12160925733464,23.8971894870923,-2.97606790064954,0.00863241042050843,0.0441347180654163,-3.37648564770066
"H3F3A;H3F3B;HIST3H3;H3F3C__397",-1.8820249895037,28.9994312889804,-2.97033056482685,0.00873765823559494,0.0444640645727238,-3.38817427133425
"M6PR__868",1.91761743992402,25.217997828584,2.96679119191297,0.00880320813796879,0.0446932105466108,-3.39538163417038
"HSD17B12__1594",1.51940817799953,24.4580576468302,2.94824637247757,0.00915456666588438,0.045730839904349,-3.43310263558542
"ADNP__1936",-1.02453176467341,23.817009936601,-2.93253979143819,0.009462792632982,0.0470547085722256,-3.46499376630158
