protein,pvalue,log2FC,adj_pvalue
PPM1B,0.8789805049321723,-0.08876886246052962,0.9324985580819636
RB1,0.01346032729028511,-0.7694953177614394,0.08143498010622491
C8orf33,0.6212188745442436,0.15487799229168075,0.7760492961701084
PGM1,0.6068087938182816,-0.07951230835882228,0.7671873629320953
RPL29,0.42991192783084636,-1.4903672349028732,0.6322404988626492
MCM4,0.00010660023246561774,-1.2282125314275412,0.004570316692546955
PDCD11,0.5172631481061619,-0.1844307063329893,0.7023685390119829
UBA6,0.028912190173931814,0.5356067395781849,0.12105756227544089
ILVBL,0.8351099486216009,-0.0775389931562529,0.9105906876241691
SH3PXD2B,0.9223574632765292,-0.006816451971676685,0.9577586891174061
ACO2,0.866270314210748,0.023780373351193873,0.9280218185716915
CNOT1,0.3265995546294494,-0.21663296252489062,0.5276957195719145
MAP1LC3B;MAP1LC3B2,0.008588224927320984,0.29626333039204766,0.061937595667897694
PGP,0.12562842356821288,-0.22468059888904435,0.2953745020242231
HMGN1,0.38660657020721756,-0.3966542268466533,0.5900694533365941
HCFC1,0.6291345932288642,-0.09038525319578028,0.7810756100189402
NUDT5,0.06549488165863106,-0.3243042908898879,0.19628706798949627
WBP2,0.10540478026753554,0.24225093138152332,0.263315090679397
HN1L,0.903479613720212,-0.009720233484131313,0.9468677728296176
SMCHD1,0.24410059275676985,-0.6322418697098335,0.44545002237352826
CD81,0.3409584787721611,0.7535000399322946,0.5416539509597134
PPP2R4;DKFZp781M17165,0.393290236876895,-0.26829396963920615,0.5952648616524513
MANF,0.031295104526839014,0.397401502590057,0.12588750276273017
RPL23A,0.5283966713031085,-0.04531020844847333,0.7095786271415476
MATR3,0.14561207597309972,-0.17133698895778693,0.3232855264723865
SRRM1,0.34508553292773453,-0.15335124968654412,0.5461671663132235
EIF3L,0.3038213698387831,-0.1268894081441374,0.5082357477026648
UBE2I,0.07072946861279478,-0.2149518868645366,0.20547134844140325
ARCN1,0.4389366534554743,0.08882390718518707,0.6407114907720488
STX12,0.20738445405474393,0.5766720234633738,0.40328869726002875
PSMD10,0.791014317340429,0.0777938697055589,0.8873057345001327
CAPZB,8.730889601653972e-05,0.3463281466971324,0.00440801017057195
NRD1,0.23331142524607423,-0.14995336586248698,0.4348391947113101
PRPS1,0.0028966666886907693,-0.6482150371380477,0.03165978417777566
LPHN2;ADGRL2,0.13381945153722122,-1.0738010249841707,0.30583291232745835
